investor_id,name,age,investment_amount
1001,"Daniel Nelson",28,328085.43
1002,"Henry Gill",38,185907.73
1003,"Kathleen Cox",49,433713.23
1004,"Melinda Roberts",67,81101.57
1005,"Jasmine Cox",36,334736.19
1006,"Anthony Wood",33,254019.08
1007,"Susan Davis",41,644844.09
1008,"Kyle Jones",61,991531.06
1009,"Michael Wagner",58,989879.73
1010,"Leslie Holder",56,740876.66
1011,"Paula Johnson",51,784339.71
1012,"Lisa Williams",35,277827.95
1013,"Crystal Dominguez",69,614626.89
1014,"Mr. Zachary Hart",28,65339.2
1015,"Janet Fleming",57,198257.56
1016,"Dr. Christy Butler",64,353127.53
1017,"Robert Wilson",32,874431.84
1018,"Nicole Coleman",46,120348.87
1019,"Aaron Mclean",68,168155.51
1020,"Kenneth Moore",58,889340.28
1021,"Joe Campbell",34,920565.07
1022,"Gabrielle Harrison",45,184464.99
1023,"Julian Clay",28,520500.32
1024,"Andrew Gonzalez",68,90265.78
1025,"Ronald Harrison",29,343970.53
1026,"Bethany Henderson",64,223919.44
1027,"Elizabeth Alexander",65,253866.83
1028,"Richard Garner",28,510422.06
1029,"Nicole Reed",56,769555.33
1030,"David Foster",39,249154.15
1031,"Patricia Bass",25,950921.23
1032,"Michael Davis",64,952338.53
1033,"John Taylor",67,655515.75
1034,"Richard Campbell",54,452320.02
1035,"Suzanne Davis",41,120062.25
1036,"Matthew Butler",31,162264.83
1037,"Angela Stewart",69,172450.47
1038,"Matthew Alexander",53,982914.46
1039,"Christopher Sims",67,586379.02
1040,"Mark Anderson Jr.",29,325741.77
1041,"Maria Lopez",69,577902.55
1042,"Robert Burns",63,478071.79
1043,"Alicia Sanders",49,765348.16
1044,"Justin Villegas",68,907336.68
1045,"Heather Kelley",63,415380.57
1046,"Rachel Lee",26,850136.58
1047,"James Perez",46,793807.05
1048,"Colleen Watkins",29,96413.88
1049,"Erica Donovan",38,91800.04
1050,"Paul Hall",34,990136.55
1051,"Stephen Duncan",33,351147.52
1052,"Jennifer Wilson",36,327441.09
1053,"Jason Brock",28,318633.38
1054,"Brandon Stevens",64,953535.73
1055,"Robert Herrera",37,908939.99
1056,"Jonathan Clark",61,421413.43
1057,"Brian Barr",65,168811.36
1058,"Nathan Perez",66,350635.35
1059,"Jennifer Petersen",63,148706.01
1060,"Jerome Serrano",28,607302.35
1061,"Omar Williams",68,506708.43
1062,"Terri Durham",68,769397.85
1063,"Megan Lee",48,104486.02
1064,"Renee Fischer",31,73745.58
1065,"Collin Sullivan",42,653445.54
1066,"Christopher Reynolds",55,450670.84
1067,"Tracy Murphy",47,73116.48
1068,"Carly Santiago",54,925117.59
1069,"Lisa Richardson",33,238243.12
1070,"Scott Martin",49,838463.15
1071,"Whitney Byrd",50,386058.12
1072,"Tanya Lopez",60,851184.64
1073,"Sean Lynch",25,989641.77
1074,"Michelle Mitchell",33,686477.9
1075,"Timothy Fleming",34,90495.31
1076,"William Wallace",44,675645.62
1077,"Tammy White",45,313938.83
1078,"James Martinez",57,230069.31
1079,"Julia Crawford",62,156707.27
1080,"Stephanie Jackson",29,325874.75
1081,"Cheryl Walton",38,757845.74
1082,"Teresa Hart",52,384391.67
1083,"Jill Freeman",31,287298.46
1084,"Connie Jarvis",30,723656.41
1085,"Jeremiah Fitzgerald",29,780725.91
1086,"Brian Hale",51,971275.58
1087,"Robin Branch",44,458308.51
1088,"Amy Miller",32,738599.88
1089,"Shelby Sullivan",32,228217.33
